FUELS,NO_OF_HOLES,LOAD(%),BTE (%),BSFC,HC,Nox,OPACITY,CETANE_NO,CO,HRR,PEAK_PRESSURE
Diesel,3,0,0,0,11,128,6.5,52,0.06,22.11,48.37
Diesel,4,0,0,0,25,111,6.9,52,0.8,22.12,49.32
Diesel,5,0,0,0,27,101,7.3,52,0.1,22.11,48.37
RB20,3,0,0,0,27,201,7.3,48.5,0.07,23.71,49.21
RB20,4,0,0,0,26,234,8.9,48.5,0.07,23.71,49.18
RB20,5,0,0,0,24,210,8.9,48.5,0.07,23.71,49.21
CF20,3,0,0,0,75,248,19.9,42,0.05,22.11,48.37
CF20,4,0,0,0,21,287,19.9,42,0.09,22.11,48.37
CF20,5,0,0,0,24,210,19.9,42,0.07,22.11,48.37
B20,3,0,0,0,49,88,19.9,50,0.056,22.11,48.37
B20,4,0,0,0,27,108,8.9,50,0.054,22.15,48.4
B20,5,0,0,0,36,98,14.8,50,0.055,19.87,46.66
B100,3,0,0,0,38,70,21.2,51,0.063,18.07,48.86
B100,4,0,0,0,45,91,15.6,51,0.089,18.15,48.9
B100,5,0,0,0,48,72,18.5,51,0.12,19.38,46.89
Diesel,3,25,20,0.461,20,131,15.6,52,0.05,35.32,57.35
Diesel,4,25,18.22,0.471,24,116,17.5,52,0.07,35.32,57.35
Diesel,5,25,16.54,0.483,29,106,18.9,52,0.08,35.32,57.35
RB20,3,25,14.43,0.000159,37,507,18.9,48.5,0.05,35.32,57.35
RB20,4,25,14.8,0.000155,32,520,18.9,48.5,0.07,35.32,57.35
RB20,5,25,14.3,0.00016,24,418,18.9,48.5,0.05,35.32,57.35
CF20,3,25,15.49,0.000169,23,653,21.2,42,0.06,33.11,59.04
CF20,4,25,16.4,0.000159,26,287,21.2,42,0.09,33.11,59.04
CF20,5,25,14.77,0.000177,19,681,21.2,42,0.09,33.11,59.04
B20,3,25,15.79,0.546,48,95,42.2,50,0.04,35.32,57.35
B20,4,25,16.2,0.56,29,114,20.1,50,0.1,35.4,57.37
B20,5,25,14.58,0.586,39,106,35.4,50,0.126,32.54,55.06
B100,3,25,18.94,0.52,31,78,36.1,51,0.043,33.11,59.04
B100,4,25,22.3,0.561,46,97,25.8,51,0.08,33.2,59.07
B100,5,25,20.18,0.581,48,79,30.4,51,0.15,32.76,56.77
Diesel,3,50,26.04,0.307,29,137,20.3,52,0.08,44.14,63.95
Diesel,4,50,24,0.33,30,121,25.4,52,0.079,44.21,63.95
Diesel,5,50,23.22,0.344,45,112,29.8,52,0.08,44.14,63.95
RB20,3,50,20.2,0.000113,30,993,38,48.5,0.04,45.32,65.95
RB20,4,50,20.92,0.000109,36,851,38,48.5,0.07,45.32,66
RB20,5,50,19.56,0.00012,34,873,38,48.5,0.09,45.32,66.05
CF20,3,50,22.75,0.00019,31,671,45.8,42,0.08,44.78,67.85
CF20,4,50,23.52,0.00017,28,532,44.8,42,0.1,44.85,67.9
